,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
2018-02-27,2744.28,554.75,1.7232623740172537,9.868887292451213,OUTPERFORM,249.581,252.19799999999998,252.412,223.98,121.193,89.571,1046.45,247.165,138.799,118.89399999999999,121.12799999999999,114.721
2018-02-28,2713.83,548.97998,-0.3393228965836492,8.088203678931304,OUTPERFORM,249.581,252.19799999999998,252.412,223.98,121.193,89.571,1046.45,247.165,138.799,118.89399999999999,121.12799999999999,114.721
2018-03-01,2677.67,547.070007,-1.834865748683867,7.831042557898393,OUTPERFORM,249.581,252.19799999999998,252.412,223.98,121.193,89.571,1046.45,247.165,138.799,118.89399999999999,121.12799999999999,114.721
2018-03-02,2691.25,551.549988,-1.4241080095087066,8.731218138011698,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-05,2720.94,556.780029,0.34999723395232607,10.23818902000253,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-06,2728.12,557.27002,0.20790020790020236,9.496211303901415,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-07,2726.8,552.090027,0.24520886869376923,8.178704910214108,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-08,2738.97,557.169983,0.9583592888974035,9.869456636195139,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-09,2786.57,560.679993,1.9597440184997428,10.084030726089255,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-12,2783.02,559.450012,2.1501666397498065,10.09761000617122,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-13,2765.31,559.369995,1.1714819869095505,9.553653495396741,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-14,2749.48,552.289978,0.7962577352846223,8.317637990138493,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-15,2747.33,548.72998,0.9554151830171387,7.4824165229906425,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-16,2752.01,548.780029,2.310529172521991,7.684163569759472,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-19,2712.92,543.3099980000002,-0.40712038502062065,5.225336531228675,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-20,2716.94,541.4400019999998,0.4313802319177107,6.580577418149658,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-21,2711.93,534.289978,-0.8297313703549358,5.200041887847129,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
