,S&P 500,S&P 500 Materials (Sector),S&P 500 Performance (%),S&P 500 Materials (Sector) Performance (%),S&P 500 Materials (Sector) Outperform/Underperform,overall,transportation,energy,energy commodities,fuels and utilities,transportation services
2007-04-25,1495.42,244.199997,1.2711204415399635,0.0901717368664956,UNDERPERFORM,206.755,184.669,208.635,242.69099999999997,200.047,232.02599999999998
2007-04-26,1494.25,243.570007,-1.6798483991103952,-4.226958046599927,UNDERPERFORM,206.755,184.669,208.635,242.69099999999997,200.047,232.02599999999998
2007-04-27,1494.07,243.0,-2.286416878674713,-5.733570896631135,UNDERPERFORM,206.755,184.669,208.635,242.69099999999997,200.047,232.02599999999998
2007-04-30,1482.37,239.229996,-2.395390946502063,-6.910772672507582,UNDERPERFORM,206.755,184.669,208.635,242.69099999999997,200.047,232.02599999999998
2007-05-01,1486.3,237.580002,-2.585613632639694,-8.071505896366615,UNDERPERFORM,206.755,184.669,208.635,242.69099999999997,200.047,232.02599999999998
2007-05-02,1495.92,240.339996,-1.4370144887430492,-6.700314284930564,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-03,1502.39,242.050003,-0.9767929291264799,-6.02189591568486,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-04,1505.62,243.5,-1.2980031728966557,-6.310117113738755,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-07,1509.48,246.660004,-1.430082670532462,-6.016386846269239,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-08,1507.72,246.520004,-1.2464385131815914,-5.544268575204736,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-09,1512.58,247.75,-2.227479573895963,-6.604587675389095,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-10,1491.47,243.309998,-3.5664638601346166,-7.718275692660614,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-11,1505.85,245.399994,-2.191492540221751,-5.749510806727187,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-14,1503.15,244.369995,-2.5725285836509237,-6.385999626593641,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-15,1501.19,246.789993,-3.620978563036481,-7.085573985480997,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-16,1514.14,247.360001,-2.4758788597044834,-6.246208023744804,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-17,1512.75,247.559998,-3.3479219244161973,-7.966836238032493,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-18,1522.75,249.0,-2.542128808873134,-6.825322063513017,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-21,1525.1,248.720001,-1.8856028975624328,-6.401237833840301,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-22,1524.12,247.729996,-2.4126008451786474,-7.73900905966225,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-23,1522.28,248.300003,-1.7065816066274553,-6.6155218352219824,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-24,1507.51,245.419998,-2.016210278642594,-6.296058091771107,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-25,1515.73,248.320007,-1.6551607796319812,-4.985650928203922,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-29,1518.11,247.770004,-1.4265492701677873,-6.2187764018723835,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-30,1530.23,251.02999900000003,1.9725048812831991,-2.7769220243103576,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-05-31,1530.62,252.289993,1.6125284632185544,-1.6949897700091698,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
