,S&P 500,S&P 500 Consumer Discretionary (Sector),S&P 500 Performance (%),S&P 500 Consumer Discretionary (Sector) Performance (%),S&P 500 Consumer Discretionary (Sector) Outperform/Underperform,overall,durables,jewelry and watches,jewelry,watches,sporting goods,"pets, pet products and services"
2018-11-09,2781.01,871.01001,-4.909080962052659,-7.904671158851073,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-12,2726.22,850.8900150000002,-6.842396615706359,-9.525020336880042,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-13,2722.18,850.6099849999998,-6.33423597945133,-9.21791253213331,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-14,2701.58,842.580017,-8.040084689799787,-10.842809618659032,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-15,2730.2,842.659973,-8.259408602150542,-12.497277883954695,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-16,2736.27,838.1099849999998,-8.139093768779105,-13.154623884845773,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-19,2690.73,815.3599849999998,-9.659451455968405,-15.767725552616529,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-20,2641.89,797.619995,-11.327822138088672,-17.284218108922424,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-21,2649.93,805.619995,-11.696374124021558,-16.587807293216482,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-23,2632.56,802.039978,-12.527038746398988,-17.39041139280646,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-26,2673.45,822.8099980000002,-11.103980527966117,-15.091067727251218,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-27,2682.17,824.77002,-10.533496110688601,-13.763069918116189,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-28,2743.79,851.3699949999999,-8.713777156735535,-11.514714923606583,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-29,2737.76,847.7100220000002,-8.945598706900848,-11.834631097243864,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-11-30,2760.17,853.590027,-8.202102574506364,-11.025054166710957,UNDERPERFORM,252.551,104.84100000000001,171.63400000000001,173.049,133.467,113.41799999999999,174.285
2018-12-03,2790.37,872.4400019999998,-6.741152446299726,-7.985991093931178,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-04,2700.06,838.349976,-9.750716964482686,-11.785132091169748,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-06,2695.95,843.4699710000001,-9.123238724465722,-10.177416216458457,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-07,2633.08,817.530029,-11.785772914733306,-13.776300342107039,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-10,2637.72,818.619995,-11.4151570717553,-13.17692891590898,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-11,2636.78,818.97998,-10.973431607237504,-12.815108895659433,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-12,2651.07,827.6099849999998,-10.940491947566787,-12.63209353970689,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-13,2650.54,823.97998,-9.853243771788112,-12.338827108117156,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-14,2599.95,807.719971,-9.961871582381288,-12.518143453068042,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-17,2545.94,784.909973,-12.529589813889086,-15.441963587395636,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-18,2546.16,793.030029,-13.748259660367012,-15.384855899533534,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-19,2506.96,775.349976,-14.69414282749022,-16.90779533665443,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-20,2467.42,757.900024,-14.712449793644101,-17.84459875461565,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-21,2416.62,738.3599849999998,-17.222031924368032,-20.672134992057455,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-24,2351.1,723.469971,-19.97971498878539,-22.684722387465783,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-26,2467.7,768.8900150000002,-16.920010638763483,-18.76320352808728,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-27,2488.83,770.75,-16.09224078350725,-18.51503405022289,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-28,2485.74,773.0599980000002,-17.022512417881753,-19.0479203117887,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2018-12-31,2506.85,781.5,-16.150169415558135,-18.49611309788467,UNDERPERFORM,252.47,105.228,170.614,172.798,136.069,113.08,174.87
2019-01-02,2510.03,788.75,-16.275121332910814,-18.000833733215504,UNDERPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-03,2447.89,771.539978,-18.02658897595606,-19.529824497185132,UNDERPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-04,2531.94,798.52002,-15.790628991060018,-17.104917705268598,UNDERPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-07,2549.69,817.349976,-14.896578426496742,-14.536217125883377,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-08,2574.41,826.6900019999998,-14.315431416665557,-13.186525390266057,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-09,2584.96,830.530029,-14.129203498666243,-12.830873473314586,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-10,2596.64,828.590027,-14.091082033382419,-12.849718300625623,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-11,2596.26,828.340027,-14.580413368340006,-13.201930962630515,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-14,2582.61,822.700012,-14.958724221160457,-13.280417178887905,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-15,2610.3,832.030029,-14.325662915152758,-12.822575985383178,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-16,2616.1,830.719971,-13.87495226431742,-12.556713902414563,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-17,2635.96,836.349976,-14.051602427198706,-12.531245398863355,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-18,2670.71,847.2100220000002,-13.239904231922473,-11.496352803874021,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-22,2632.9,832.01001,-14.366653440099908,-13.209338544041472,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-23,2638.7,833.869995,-14.238262079186692,-13.065191123624743,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-24,2642.33,838.299988,-14.354105757200553,-12.107617845707697,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-25,2664.76,847.090027,-13.847685801854448,-11.21021691608819,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-28,2643.85,841.0300289999999,-14.355638627668855,-11.606372358963924,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-29,2640.0,834.1400150000002,-14.613951562823434,-12.260439205716533,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-30,2681.05,852.159973,-13.347920518157485,-10.019536054310151,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-01-31,2704.1,861.4500119999999,-12.67603814469278,-9.35539947002294,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-02-01,2706.53,846.159973,-13.265031437672647,-11.093367737968018,OUTPERFORM,253.135,105.26,167.618,172.225,129.565,111.449,175.988
2019-02-04,2724.87,851.5499880000001,-12.7212102382104,-10.825925016264504,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-05,2737.7,859.7000119999999,-12.258267151254099,-9.09090618772449,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-06,2731.61,855.2800289999999,-12.123366554499649,-9.302223860021218,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-07,2706.05,847.8099980000002,-12.807632574415017,-9.622848516556747,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-08,2707.88,843.51001,-12.938021856482829,-10.659324412621107,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-11,2709.8,845.0399779999998,-13.525484739791416,-11.285615562898743,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-12,2744.73,859.0599980000002,-12.6026900003821,-10.5369483726667,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-13,2753.03,864.3699949999999,-12.702821827544764,-10.724948579389949,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-14,2745.73,860.570007,-12.583652235926369,-10.430996710500661,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-15,2775.6,865.070007,-10.863330839116603,-9.272347071199116,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-19,2779.76,869.169983,-10.133195396353278,-7.912273655659863,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-20,2784.7,870.3599849999998,-10.539199938318422,-8.157903002822042,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-21,2774.88,868.6099849999998,-10.988217858941496,-8.138035995892468,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-22,2792.67,873.669983,-11.2285475426824,-8.34347754917989,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-25,2796.11,870.9799800000002,-10.837191800915825,-8.691781410459543,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
